cell_line,Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
A375,MRPL50,3,-5.030092986445141,0.0012904927645922297,0.01221186577438437
A375,MRPL51,3,-8.224254773868449,1.606823511460709e-23,3.9062955261358096e-22
A375,MRPL52,3,-6.448004593613541,7.161743431723735e-06,9.500346980404755e-05
A375,MRPL53,3,-7.217682937264988,3.737501284659749e-11,6.16488767613749e-10
A375,MRPL54,3,-7.483453346976706,8.229314942251414e-14,1.4803212737837858e-12
A375,MRPL55,3,-5.466171474011301,0.0009142921402212629,0.00967185417882675
A375,MRPL57,3,-8.414058338661476,1.477731189330711e-26,3.8762923895299154e-25
A375,MRPL58,3,-3.6071899753793333,0.008825235193052495,0.058468441026719796
A375,MRPL9,3,-4.564823216494241,0.002237503637488924,0.018882288322033435
A375,MRPS10,3,-6.524406313532873,3.0726787026422893e-06,4.1591220575485986e-05
A375,MRPS11,3,-4.873368905213102,0.0015449750490456517,0.013983284172624157
A375,MRPS12,3,-6.981924710744427,3.70106548140233e-09,5.673909159186778e-08
A375,MRPS14,3,-8.953678194969847,2.0378137258699267e-36,7.446671195431284e-35
A375,MRPS15,3,-4.362396252639823,0.002965396071949176,0.02385557982283517
A375,MRPS16,3,-5.998823673699728,0.00022998604555201036,0.002760901696629273
A375,MRPS17,4,-2.911801864665021,0.020805047047529182,0.11231825747540666
A375,MRPS18A,3,-9.910735073408018,2.1920803320746008e-58,2.3695878603602696e-56
A375,MRPS18B,3,-8.797830951180247,2.206669788783667e-33,7.233457342894388e-32
A375,MRPS18C,3,-7.454434196080037,1.6850336155175374e-13,3.0055154457592543e-12
A375,MRPS2,3,-8.85369469459793,1.8769174412636942e-34,6.424364985627322e-33
A375,MRPS21,3,-7.522720468269056,3.0615764930648983e-14,5.585094134640604e-13
A375,MRPS22,3,-8.22052585744202,1.8338921325536484e-23,4.449006999235839e-22
A375,MRPS23,3,-5.7518615717488375,0.0005802293343265164,0.006568489994682205
A375,MRPS24,3,-4.239075917469945,0.0035770783068472633,0.027944496446869665
A375,MRPS25,3,-8.559471526982835,4.913795838197732e-29,1.3910052262552189e-27
A375,MRPS26,3,-9.047444185064837,2.5717884654926373e-38,1.0096441845694998e-36
A375,MRPS27,3,-7.981899715964652,5.715743233280781e-20,1.2391752657152858e-18
A375,MRPS28,4,-6.570879877791613,1.7678893071071333e-06,2.418335219922124e-05
A375,MRPS30,3,-6.816108046326687,5.894122572695246e-08,8.642605849338183e-07
A375,MRPS30-DT,2,-5.920195756567617,0.0003301605273351204,0.003924941593757306
A375,MRPS31,3,-3.0552344035467924,0.017650054610546313,0.09997682651808601
A375,MRPS33,2,-4.144023372134949,0.004132955499569464,0.031575943052430604
A375,MRPS34,3,-7.135492540847598,2.0265403161945025e-10,3.2459561329204986e-09
A375,MRPS35,3,-8.662059143279976,7.306453278065595e-31,2.1770420594297756e-29
A375,MRPS35-DT,3,-0.4078454217093681,0.31798310462736945,0.6061848536768403
A375,MRPS36P1,1,-2.377337831365904,0.036028272334131924,0.16211676230736885
A375,MRPS5,3,-4.690764164450667,0.0019177223096934553,0.016630516492382685
A375,MRPS6,3,-8.014822952379243,1.9774147040908968e-20,4.351997645622778e-19
A375,MRPS7,3,-9.24681385100081,1.5482266636763698e-42,7.388569998049797e-41
A375,MRPS9,3,-7.06884429728604,7.445057447262786e-10,1.1683361251305497e-08
A375,MRRF,3,-6.480074732531377,5.068158153119292e-06,6.781178102282411e-05
A375,MRS2,3,0.2857479205465308,0.5957508231110183,0.827989390324329
A375,MRTFA,3,-0.345435638620918,0.33993571320776705,0.6302927854734743
A375,MRTFB,3,0.9952681166832467,0.8637693897219607,0.9639407408255717
A375,MRTO4,3,-9.466448221776439,1.78824331469738e-47,1.1172194321742421e-45
A375,MS4A1,3,-1.7299884579422404,0.06764411878654598,0.23602777158356222
A375,MS4A10,3,-1.6185045831744507,0.07633194332812417,0.25547470605891875
A375,MS4A12,3,-0.9857480732201763,0.1608978498211771,0.40434979754476397
A375,MS4A13,3,2.1491074541100486,0.9952820443382224,1.0
A375,MS4A14,3,-0.12660067683426035,0.4224555083864775,0.7059795278853942
A375,MS4A15,3,-0.6049855901261916,0.2544693038997758,0.531128970986501
A375,MS4A18,3,-0.6086125204171603,0.25339290432158346,0.5295957274584462
A375,MS4A2,3,0.2971071980193881,0.6007293243764766,0.8306467542448166
A375,MS4A3,3,0.9117148849273664,0.8399459215830208,0.954780251183476
A375,MS4A4A,3,-0.46752770107392616,0.2977681849646578,0.5838489157268555
A375,MS4A4E,3,0.02632020207837043,0.48442062542890896,0.7524172796627195
A375,MS4A5,3,-0.2031635184170574,0.39269498655638657,0.6803067961551253
A375,MS4A6A,3,-0.15208678590722655,0.4124504465172222,0.6970448536581414
A375,MS4A6E,3,0.7547907141000163,0.7885870642280919,0.9305251246766767
A375,MS4A7,3,-1.1226796708367572,0.13616829424615473,0.3653986935792383
A375,MS4A8,3,-0.3195148817721407,0.34927961122823625,0.6389301412479684
A375,MSANTD1,3,0.5342295917540373,0.7030765467537614,0.8886340016915472
A375,MSANTD2,3,0.3994708096629796,0.6455169521218116,0.8587555514747008
A375,MSANTD3,4,-3.5297913961362233,0.009800526092302331,0.06371301452061495
A375,MSANTD3-TMEFF1,3,0.48160404999601397,0.6809135100668993,0.8780360961949351
A375,MSANTD4,3,-0.7414618709561684,0.21643758171891445,0.4828039185535362
A375,MSANTD5,3,1.5205146213368217,0.9610625327619122,0.9916128395409796
A375,MSANTD7,5,-4.804765727117637,0.0016759052345785626,0.014849299869172846
A375,MSC,3,-1.4992450359251726,0.08722380753929582,0.2775643867901985
A375,MSC-AS1,1,0.7249509246291718,0.7778662090200635,0.9253410740561651
A375,MSGN1,3,-0.4487073019793231,0.30405634390236613,0.5904751281692509
A375,MSH2,3,-2.931682841152858,0.0203416462636046,0.11049783852989106
A375,MSH3,3,1.2309832219714738,0.9180978941579532,0.9797737697733947
A375,MSH4,3,0.3984032068188021,0.6450522970417266,0.8585023103245403
A375,MSH5,3,1.2991920540306345,0.930432355418717,0.9837263291231703
A375,MSH5-SAPCD1,4,1.4424534299528586,0.951793836976298,0.9888087508455654
A375,MSH6,3,-0.6572287197776738,0.2393077568719596,0.5118490316087994
A375,MSI1,3,-0.7493289012448542,0.21440145301994928,0.4800023282570698
