Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
A1CF,6,0.5278765658346958,0.6762445913540052,0.8141217019328219
A2M,6,-1.6404928957109517,0.06694810170166222,0.2606057384144082
A2ML1,6,-0.33033934961153444,0.33265396045523765,0.6250985163017281
A3GALT2,6,0.7921265481868912,0.773294895453682,0.8553448915111619
A4GALT,5,-0.4885718967231157,0.2833728789067963,0.5845822761831957
A4GNT,6,0.29166870226741537,0.576540678932819,0.7687338711205844
AAAS,6,-1.6482728672220295,0.06620317469441285,0.2587252010056716
AACS,6,0.30579111796726416,0.5826659787297339,0.7714878559316448
AADAC,6,-0.7289824277616608,0.2191974752493212,0.5159521718024309
AADACL2,6,0.1846723014686819,0.5302113395714061,0.7458909367931973
AADACL3,6,0.26233559748625407,0.5638082273953318,0.7633969579346356
AAGAB,6,-4.010295519976664,0.0017176759092568884,0.014904225565006342
AAK1,6,-0.7675998049959674,0.2100091752359785,0.5049551827897135
AAMDC,6,-0.6190815448759515,0.2469688863200493,0.549088322684569
AAMP,6,-6.884926345161837,3.816835578620463e-26,6.570742294449147e-25
AANAT,6,-0.12004389427910733,0.4066015159406157,0.6783183888396154
AAR2,6,-4.584615091158409,0.00026414587827219046,0.002612770266413063
AARD,6,0.5106531595434959,0.6692868773115133,0.8110037784400762
AARS1,6,-9.850958046786731,8.23356099458959e-105,1.3673938313955805e-102
AARS2,6,-7.879181293887668,4.335429568926175e-46,1.1055625105895226e-44
AARSD1,6,-0.04158462539709046,0.43667544675787645,0.697891254018094
AASDH,6,-0.2159883018028465,0.37167134293915466,0.6569784578634675
AASDHPPT,6,-2.522211498452527,0.015681358671987108,0.08980315602274158
AASS,6,0.19701935268538728,0.5355283909611966,0.7484268735426383
AATF,6,-6.657980320701964,1.69710863113346e-22,2.7092049981494807e-21
ABAT,6,0.6801468073976953,0.7345438116519895,0.8377885054430967
ABCA1,6,-3.0396263097752176,0.007183033676217973,0.048466471335983544
ABCA10,6,-0.2690192038842674,0.3532259208676847,0.6425916848698258
ABCA11P,6,-0.35279141574977824,0.32532504719736016,0.6198205830291553
ABCA12,6,0.7323160924933313,0.7530527307898783,0.8459828080336573
ABCA13,6,0.8349383462216943,0.7871352443591181,0.8630873268477925
ABCA2,6,-3.5223070504933904,0.002998917967569045,0.02330618002086789
ABCA3,6,-2.9980493653316724,0.00764184757969393,0.0508675761931597
ABCA4,6,0.06157236960341273,0.47821238918427217,0.7184273240173904
ABCA5,6,-0.08671230856866184,0.41921186441962943,0.6864519393334245
ABCA6,6,0.005467645303935112,0.45535220788992536,0.7062082335356071
ABCA7,6,-1.9182881782205465,0.043808152704713284,0.19377361725677006
ABCA8,6,0.37042565620041507,0.6105629219351659,0.7836704738405589
ABCA9,6,0.6555062938497664,0.7255311773595834,0.8336047931325477
ABCB1,6,0.3563348105423998,0.6045083568007543,0.7810682904006183
ABCB10,6,0.09306202318817303,0.4912993238457066,0.7262066378808026
ABCB11,6,0.0769273302102222,0.4845723343847603,0.7225257767737633
ABCB4,6,0.3712900875985348,0.610933713700081,0.7836704738405589
ABCB6,6,0.23834147216189389,0.5533987746763372,0.7580115333657298
ABCB7,6,-6.6848660300628255,6.531850998830203e-23,1.0546484582506643e-21
ABCB8,6,-0.45864940345749444,0.29226362296065167,0.5925503143044268
ABCB9,6,-0.10855785565722036,0.4109192495822743,0.6806779881032364
ABCC1,6,-1.9744588582332094,0.03990725658512591,0.1838431496251383
ABCC10,6,0.4073222182822103,0.6263128033739065,0.791370112721598
ABCC11,6,0.18359722760982536,0.529748998988318,0.7456832732432752
ABCC2,4,-0.8424097598181013,0.19296320849888732,0.48229820280302393
ABCC3,6,-1.743773247800978,0.05755654480442949,0.23526163287899482
ABCC4,6,-1.6111941412404152,0.06981375291023309,0.26744120929733217
ABCC5,6,-0.41881402549660113,0.3044129142127825,0.6046951878165866
ABCC6,6,0.4875280766246313,0.6598440675182349,0.8077112608462605
ABCC6P1,6,0.4875280766246313,0.6598440675182349,0.8077112608462605
ABCC6P2,6,0.4875280766246313,0.6598440675182349,0.8077112608462605
ABCC8,6,-0.8784931272217029,0.18507028327174838,0.4713416785985927
ABCC9,6,-2.8084286194690296,0.010081613425632071,0.06311147485928623
ABCD1,6,-1.8317057821006582,0.050319495118413854,0.21474070007022522
ABCD2,6,0.5495957012244843,0.6849216529634979,0.8168665286939852
ABCD3,6,-1.5477534159333992,0.07637163416793635,0.28386921310154717
ABCD4,6,0.6101973613971929,0.7085197222759112,0.8262997327592844
ABCE1,6,-5.6169960170495274,4.987980536844263e-10,6.126628921668936e-09
ABCF1,5,-1.0334439397398587,0.15340056846993216,0.42375559694578313
ABCF2,6,-1.4237372831800916,0.09081903112951767,0.3096526870411759
ABCF2-H2BK1,6,-1.4237372831800916,0.09081903112951767,0.3096526870411759
ABCF3,6,-0.20191315474474403,0.37666937849939786,0.6590865081667838
ABCG1,6,0.4136554576190346,0.6289986303599111,0.7930398680576027
ABCG4,6,-0.2547474172861839,0.35813022052954624,0.6452482038768732
ABCG5,6,-1.6213823458794674,0.0688062324083616,0.2653302577729659
ABCG8,6,-0.023810741135653173,0.44367529632433644,0.7006945263773147
ABHD1,6,0.4437511145730416,0.6416790368205012,0.798715169292627
ABHD10,6,1.0077243099434119,0.8375353133603082,0.8913894338919581
ABHD11,5,-3.752827899061765,0.002170800362985546,0.01783847300361054
ABHD12,6,0.5785712887539467,0.696320828711217,0.8196181380476344
ABHD12B,6,-0.24395064654688853,0.36186958801411595,0.64858278511848
ABHD13,6,-1.2783268071680687,0.11101189618378593,0.3491209006818252
ABHD14A,6,-3.5058232181829294,0.0030910284743580845,0.02390919598385081
ABHD14A-ACY1,6,-3.5058232181829294,0.0030910284743580845,0.02390919598385081
ABHD14B,6,0.19996276808702385,0.5367977455002482,0.7492200996895348
ABHD15,6,-3.7407071760495136,0.0021973104354020816,0.017989000055862195
ABHD16A,4,-0.5572977920415352,0.26372296991237876,0.5668861797539776
ABHD17A,6,-0.7469290810848291,0.21489274169809647,0.511023191953714
ABHD17B,6,-0.7695838657120402,0.2095445396855028,0.5044742036550849
ABHD17C,6,-2.1921066756400682,0.02735344463777263,0.138257321323862
ABHD2,6,-0.14495070837376778,0.39733908752116537,0.6733543151954432
ABHD3,6,-0.40448847228928064,0.30886870612092776,0.6075616839920269
ABHD4,6,0.6243703772571513,0.7139010605179341,0.8284983806604194
ABHD5,6,-2.7222680634528067,0.011472265972264455,0.0698694583697573
ABHD6,6,-3.7277113601128575,0.0022272040123144338,0.018127557681049428
ABHD8,6,-0.11168603685080099,0.409740434659178,0.6803578728028985
ABI1,6,-1.967511890720817,0.04037564672004888,0.18539252708047882
ABI2,5,-2.4807484785590557,0.0167655941826079,0.09488500510620845
ABI3,6,0.2344746415684723,0.5517227724780553,0.7568811188719934
ABI3BP,6,0.6211528645704703,0.7126841382423994,0.8281265653859677
ABITRAM,6,-3.7458990188559875,0.002185800154297383,0.0179170337824053
ABL1,6,-2.976658786091203,0.007885785450978493,0.05207042361098829
ABLIM2,6,-0.053955510602735735,0.43184377264875634,0.6939203393030371
